StateDesc,ValueXPopSize,PopulationCount
Alabama,388753.9449999999,2895912.0
Alaska,66192.25300000001,875478.0
Arizona,1073095.7690000013,11688222.0
Arkansas,153044.15700000004,1471119.0
California,6571891.358,67102517.0
Colorado,555266.5220000003,7530969.0
Connecticut,279826.626,2614482.0
Delaware,30134.810999999998,212553.0
District of C,160128.27699999997,1805169.0
Florida,1747289.5530000026,15499444.0
Georgia,534676.0269999998,4655310.0
Hawaii,312575.8180000002,2859621.0
Idaho,85048.46300000002,1086960.0
Illinois,1447250.5470000003,13342776.0
Indiana,640936.2840000002,5482416.0
Iowa,180991.475,1945188.0
Kansas,322056.9080000003,3127542.0
Kentucky,301656.26800000004,2679420.0
Louisiana,410137.64500000066,3095853.0
Maine,14899.324999999997,198582.0
Maryland,238687.01399999985,1862883.0
Massachusetts,550846.1299999998,5582988.0
Michigan,854433.3759999993,6675801.0
Minnesota,245834.49499999968,3269790.0
Mississippi,102908.31100000002,723921.0
Missouri,443273.99700000026,4234146.0
Montana,35842.62299999999,512874.0
Nebraska,188081.80299999999,2002011.0
Nevada,417933.3159999998,4121793.0
New Hampshire,53033.996999999996,588177.0
New Jersey,495273.4660000001,3535602.0
New Mexico,213107.41499999986,2396814.0
New York,3102012.3780000117,27889497.0
North Carolin,821044.926999999,8395419.0
North Dakota,23641.579000000012,316647.0
Ohio,942579.7759999995,6990678.0
Oklahoma,447471.02799999976,4079856.0
Oregon,320155.4030000002,3999456.0
Pennsylvania,864764.0399999993,6872043.0
Rhode Island,125320.345,1236747.0
South Carolin,156617.68999999997,1442469.0
South Dakota,57487.856999999996,665532.0
Tennessee,675922.215,5509029.0
Texas,4430505.187999998,36976470.0
United States,62984089.752000004,617491076.0
Utah,215473.07000000007,2792826.0
Vermont,7982.022000000001,127251.0
Virginia,631804.1880000003,5754183.0
Washington,521834.3940000003,6244782.0
West Virginia,21735.335000000006,154200.0
Wisconsin,339924.64500000014,3760554.0
Wyoming,15228.301,178398.0
